Generating Solution for Advent of Code 2020 - Day 4 / Part 2
Reading input file data/day4-input.txt to solve Day 4 Part 2
Passport 1, ecl:, grt, Invalid
Passport 14, hcl:, #cfa07d, Valid
Passport 14, byr:, 1962, Valid
Passport 14, hgt:, 153cm, Valid
Passport 14, eyr:, 2020, Valid
Passport 14, iyr:, 2018, Valid
Passport 14, ecl:, amb, Valid
Passport 14, pid:, 579364506, Valid
Passport 15, ecl:, amb, Valid
Passport 15, hcl:, #6b5442, Valid
Passport 15, byr:, 2001, Valid
Passport 15, iyr:, 2010, Valid
Passport 15, pid:, 406219444, Valid
Passport 15, eyr:, 2020, Valid
Passport 15, hgt:, 173cm, Valid
Passport 16, pid:, #430c70, Invalid
Passport 17, pid:, #518780, Invalid
Passport 18, ecl:, grn, Valid
Passport 18, pid:, 1961614335, Valid
Passport 18, eyr:, 2031, Invalid
Passport 19, ecl:, amb, Valid
Passport 19, eyr:, 2022, Valid
Passport 19, hgt:, 68in, Valid
Passport 19, pid:, 112372155, Valid
Passport 19, hcl:, #6b5442, Valid
Passport 19, byr:, 1927, Valid
Passport 19, iyr:, 2012, Valid
Passport 20, byr:, 1972, Valid
Passport 20, hgt:, 169cm, Valid
Passport 20, hcl:, #888785, Valid
Passport 20, ecl:, oth, Valid
Passport 20, eyr:, 2021, Valid
Passport 20, iyr:, 2015, Valid
Passport 20, pid:, 7889059161, Valid
Passport 21, ecl:, brn, Valid
Passport 21, iyr:, 2020, Valid
Passport 21, pid:, 468038868, Valid
Passport 21, eyr:, 2026, Valid
Passport 21, hcl:, #18171d, Valid
Passport 21, byr:, 1961, Valid
Passport 21, hgt:, 151cm, Valid
Passport 22, ecl:, blu, Valid
Passport 22, hcl:, #b6652a, Valid
Passport 22, byr:, 1959, Valid
Passport 22, pid:, 708689901, Valid
Passport 22, hgt:, 151cm, Valid
Passport 22, eyr:, 2026, Valid
Passport 22, iyr:, 2012, Valid
Passport 23, ecl:, grt, Invalid
Passport 24, pid:, 683129831, Valid
Passport 24, eyr:, 2030, Valid
Passport 24, hcl:, #a97842, Valid
Passport 24, byr:, 1962, Valid
Passport 24, hgt:, 155cm, Valid
Passport 24, iyr:, 2015, Valid
Passport 24, ecl:, oth, Valid
Passport 25, hcl:, #866857, Valid
Passport 25, byr:, 2009, Valid
Passport 25, iyr:, 1955, Invalid
Passport 26, byr:, 1940, Valid
Passport 26, pid:, 936748944, Valid
Passport 26, eyr:, 2024, Valid
Passport 26, iyr:, 2013, Valid
Passport 26, hgt:, 160cm, Valid
Passport 26, ecl:, grn, Valid
Passport 26, hcl:, #c0946f, Valid
Passport 27, iyr:, 1984, Invalid
Passport 28, byr:, 1978, Valid
Passport 28, ecl:, brn, Valid
Passport 28, pid:, 759624394, Valid
Passport 28, eyr:, 2020, Valid
Passport 28, hcl:, #efcc98, Valid
Passport 28, iyr:, 2011, Valid
Passport 28, hgt:, 172cm, Valid
Passport 29, pid:, 622444743, Valid
Passport 29, eyr:, 2020, Valid
Passport 29, hcl:, #a97842, Valid
Passport 29, ecl:, gry, Valid
Passport 29, byr:, 1980, Valid
Passport 29, iyr:, 2014, Valid
Passport 29, hgt:, 157cm, Valid
Passport 30, eyr:, 2020, Valid
Passport 30, hgt:, 181cm, Valid
Passport 30, iyr:, 2014, Valid
Passport 30, ecl:, brn, Valid
Passport 30, hcl:, #602927, Valid
Passport 30, byr:, 1934, Valid
Passport 31, hgt:, 188cm, Valid
Passport 31, ecl:, blu, Valid
Passport 31, pid:, 757878469, Valid
Passport 31, eyr:, 2029, Valid
Passport 31, hcl:, #b6652a, Valid
Passport 31, iyr:, 2017, Valid
Passport 32, ecl:, blu, Valid
Passport 32, pid:, 283341241, Valid
Passport 32, eyr:, 2027, Valid
Passport 32, hcl:, #341e13, Valid
Passport 32, byr:, 1995, Valid
Passport 32, iyr:, 2020, Valid
Passport 32, hgt:, 174cm, Valid
Passport 33, eyr:, 2011, Invalid
Passport 34, ecl:, hzl, Valid
Passport 34, pid:, 620966688, Valid
Passport 34, hcl:, z, Invalid
Passport 35, ecl:, gry, Valid
Passport 35, pid:, 818634983, Valid
Passport 35, hcl:, #ceb3a1, Valid
Passport 35, byr:, 1925, Valid
Passport 35, hgt:, 187cm, Valid
Passport 35, eyr:, 2021, Valid
Passport 35, iyr:, 2015, Valid
Passport 36, hcl:, #c0946f, Valid
Passport 36, iyr:, 2017, Valid
Passport 36, ecl:, hzl, Valid
Passport 36, pid:, 085876735, Valid
Passport 36, eyr:, 2030, Valid
Passport 36, byr:, 1953, Valid
Passport 36, hgt:, 67in, Valid
Passport 37, pid:, 205284134, Valid
Passport 37, hcl:, #cfa07d, Valid
Passport 37, byr:, 1987, Valid
Passport 37, hgt:, 167cm, Valid
Passport 37, ecl:, oth, Valid
Passport 37, eyr:, 2022, Valid
Passport 37, iyr:, 2020, Valid
Passport 38, iyr:, 2018, Valid
Passport 38, pid:, 232535961, Valid
Passport 38, eyr:, 2027, Valid
Passport 38, byr:, 1999, Valid
Passport 38, hgt:, 180cm, Valid
Passport 38, ecl:, oth, Valid
Passport 38, hcl:, #18171d, Valid
Passport 39, ecl:, blu, Valid
Passport 39, eyr:, 2023, Valid
Passport 39, hcl:, #18171d, Valid
Passport 39, byr:, 1920, Valid
Passport 39, iyr:, 2012, Valid
Passport 39, hgt:, 171cm, Valid
Passport 39, pid:, 353601791, Valid
Passport 40, byr:, 1956, Valid
Passport 40, ecl:, brn, Valid
Passport 40, pid:, 141896408, Valid
Passport 40, eyr:, 2028, Valid
Passport 40, iyr:, 2012, Valid
Passport 40, hgt:, 164cm, Valid
Passport 40, hcl:, #866857, Valid
Passport 41, ecl:, oth, Valid
Passport 41, pid:, 855777018, Valid
Passport 41, eyr:, 2030, Valid
Passport 41, hcl:, #fffffd, Valid
Passport 41, byr:, 1975, Valid
Passport 41, hgt:, 67in, Valid
Passport 41, iyr:, 2012, Valid
Passport 42, ecl:, blu, Valid
Passport 42, pid:, 45257034, Invalid
Passport 43, ecl:, grn, Valid
Passport 43, pid:, 080116868, Valid
Passport 43, eyr:, 2021, Valid
Passport 43, hcl:, #efcc98, Valid
Passport 43, byr:, 1987, Valid
Passport 43, iyr:, 2020, Valid
Passport 43, hgt:, 62in, Valid
Passport 44, ecl:, amb, Valid
Passport 44, eyr:, 2027, Valid
Passport 44, hcl:, #efcc98, Valid
Passport 44, iyr:, 2020, Valid
Passport 44, pid:, 143966954, Valid
Passport 44, hgt:, 165cm, Valid
Passport 45, pid:, 798564127, Valid
Passport 45, byr:, 1941, Valid
Passport 45, iyr:, 2015, Valid
Passport 45, ecl:, oth, Valid
Passport 45, eyr:, 2020, Valid
Passport 45, hgt:, 183cm, Valid
Passport 46, byr:, 1999, Valid
Passport 46, hcl:, #ceb3a1, Valid
Passport 46, iyr:, 2017, Valid
Passport 46, pid:, 640883740, Valid
Passport 46, hgt:, 164cm, Valid
Passport 46, ecl:, hzl, Valid
Passport 46, eyr:, 2022, Valid
Passport 47, eyr:, 2023, Valid
Passport 47, iyr:, 2014, Valid
Passport 47, ecl:, grn, Valid
Passport 47, hcl:, #ceb3a1, Valid
Passport 47, pid:, 185076942, Valid
Passport 47, byr:, 1981, Valid
Passport 47, hgt:, 188cm, Valid
Passport 48, hgt:, 150cm, Valid
Passport 48, ecl:, brn, Valid
Passport 48, pid:, #e2dd63, Invalid
Passport 49, ecl:, brn, Valid
Passport 49, eyr:, 2024, Valid
Passport 49, iyr:, 2015, Valid
Passport 49, hgt:, 76in, Valid
Passport 49, hcl:, #866857, Valid
Passport 49, byr:, 1958, Valid
Passport 49, pid:, 886486245, Valid
Passport 50, ecl:, amb, Valid
Passport 50, pid:, 087380735, Valid
Passport 50, byr:, 1931, Valid
Passport 50, iyr:, 2010, Valid
Passport 50, eyr:, 2028, Valid
Passport 50, hgt:, 161cm, Valid
Passport 51, ecl:, brn, Valid
Passport 51, pid:, 036335738, Valid
Passport 51, eyr:, 2024, Valid
Passport 51, hcl:, #c0946f, Valid
Passport 51, byr:, 1926, Valid
Passport 51, iyr:, 2012, Valid
Passport 51, hgt:, 153cm, Valid
Passport 52, hcl:, bf952a, Invalid
Passport 53, ecl:, oth, Valid
Passport 53, hcl:, #733820, Valid
Passport 53, iyr:, 2016, Valid
Passport 53, hgt:, 154cm, Valid
Passport 53, byr:, 1925, Valid
Passport 53, pid:, 590365390, Valid
Passport 53, eyr:, 2020, Valid
Passport 54, pid:, 670283165, Valid
Passport 54, eyr:, 2029, Valid
Passport 54, hgt:, 166cm, Valid
Passport 54, hcl:, #ceb3a1, Valid
Passport 54, iyr:, 2018, Valid
Passport 54, byr:, 1955, Valid
Passport 54, ecl:, gry, Valid
Passport 55, hgt:, 181cm, Valid
Passport 55, hcl:, #866857, Valid
Passport 55, byr:, 1933, Valid
Passport 55, iyr:, 2016, Valid
Passport 55, ecl:, blu, Valid
Passport 55, eyr:, 2028, Valid
Passport 56, hgt:, 184cm, Valid
Passport 56, hcl:, #623a2f, Valid
Passport 56, pid:, 081880232, Valid
Passport 56, ecl:, hzl, Valid
Passport 56, eyr:, 2030, Valid
Passport 56, byr:, 1929, Valid
Passport 56, iyr:, 2015, Valid
Passport 57, pid:, 825698872, Valid
Passport 57, ecl:, gry, Valid
Passport 57, eyr:, 2026, Valid
Passport 57, hcl:, #866857, Valid
Passport 57, byr:, 1950, Valid
Passport 57, iyr:, 2015, Valid
Passport 57, hgt:, 181cm, Valid
Passport 58, ecl:, hzl, Valid
Passport 58, pid:, 687380398, Valid
Passport 58, eyr:, 2022, Valid
Passport 58, hcl:, #fffffd, Valid
Passport 58, byr:, 2002, Valid
Passport 58, iyr:, 2013, Valid
Passport 58, hgt:, 173cm, Valid
Passport 59, ecl:, zzz, Invalid
Passport 60, ecl:, amb, Valid
Passport 60, hgt:, 67in, Valid
Passport 60, pid:, 602547016, Valid
Passport 60, byr:, 1985, Valid
Passport 60, eyr:, 2021, Valid
Passport 60, iyr:, 2014, Valid
Passport 61, ecl:, grn, Valid
Passport 61, pid:, 642261584, Valid
Passport 61, eyr:, 2020, Valid
Passport 61, iyr:, 2014, Valid
Passport 61, hcl:, #7d3b0c, Valid
Passport 61, byr:, 1970, Valid
Passport 61, hgt:, 190cm, Valid
Passport 62, eyr:, 2035, Invalid
Passport 63, ecl:, brn, Valid
Passport 63, eyr:, 2026, Valid
Passport 63, iyr:, 2019, Valid
Passport 63, hgt:, 162cm, Valid
Passport 63, pid:, 774441166, Valid
Passport 63, hcl:, #ceb3a1, Valid
Passport 63, byr:, 1951, Valid
Passport 64, pid:, 260873380, Valid
Passport 64, eyr:, 2024, Valid
Passport 64, hcl:, #b6652a, Valid
Passport 64, byr:, 1934, Valid
Passport 64, iyr:, 2016, Valid
Passport 64, hgt:, 166cm, Valid
Passport 65, hcl:, z, Invalid
Passport 66, eyr:, 2034, Invalid
Passport 67, ecl:, brn, Valid
Passport 67, hcl:, #888785, Valid
Passport 67, pid:, 739399822, Valid
Passport 67, byr:, 1989, Valid
Passport 67, iyr:, 2011, Valid
Passport 67, hgt:, 184cm, Valid
Passport 68, hcl:, #c0946f, Valid
Passport 68, pid:, 891125961, Valid
Passport 68, hgt:, 175cm, Valid
Passport 68, ecl:, gry, Valid
Passport 68, eyr:, 2027, Valid
Passport 68, iyr:, 2010, Valid
Passport 68, byr:, 1930, Valid
Passport 69, pid:, 684366743, Valid
Passport 69, eyr:, 2023, Valid
Passport 69, byr:, 1935, Valid
Passport 69, hgt:, 164cm, Valid
Passport 69, ecl:, oth, Valid
Passport 69, hcl:, #18171d, Valid
Passport 69, iyr:, 2013, Valid
Passport 70, ecl:, #c53bbb, Invalid
Passport 71, ecl:, #e52638, Invalid
Passport 72, hcl:, #733820, Valid
Passport 72, byr:, 1966, Valid
Passport 72, iyr:, 2020, Valid
Passport 72, ecl:, gry, Valid
Passport 72, pid:, 229789071, Valid
Passport 72, eyr:, 2021, Valid
Passport 73, pid:, 363947487, Valid
Passport 73, ecl:, blu, Valid
Passport 73, hcl:, #623a2f, Valid
Passport 73, byr:, 1972, Valid
Passport 73, iyr:, 2017, Valid
Passport 73, hgt:, 184cm, Valid
Passport 73, eyr:, 2023, Valid
Passport 74, ecl:, oth, Valid
Passport 74, pid:, 460855562, Valid
Passport 74, hcl:, z, Invalid
Passport 75, eyr:, 2027, Valid
Passport 75, iyr:, 2017, Valid
Passport 75, hgt:, 172cm, Valid
Passport 75, byr:, 1975, Valid
Passport 75, ecl:, amb, Valid
Passport 75, pid:, 591950054, Valid
Passport 75, hcl:, #c0946f, Valid
Passport 76, ecl:, oth, Valid
Passport 76, eyr:, 2022, Valid
Passport 76, hgt:, 185cm, Valid
Passport 76, hcl:, #6b5442, Valid
Passport 76, byr:, 1978, Valid
Passport 76, pid:, 849124937, Valid
Passport 76, iyr:, 2018, Valid
Passport 77, iyr:, 1927, Invalid
Passport 78, ecl:, #144539, Invalid
Passport 79, ecl:, amb, Valid
Passport 79, hcl:, #6b5442, Valid
Passport 79, byr:, 1930, Valid
Passport 79, iyr:, 2020, Valid
Passport 79, hgt:, 168cm, Valid
Passport 79, pid:, 332084752, Valid
Passport 79, eyr:, 2023, Valid
Passport 80, ecl:, blu, Valid
Passport 80, pid:, 481801918, Valid
Passport 80, eyr:, 2028, Valid
Passport 80, byr:, 1922, Valid
Passport 80, iyr:, 2019, Valid
Passport 80, hcl:, #efcc98, Valid
Passport 80, hgt:, 76in, Valid
Passport 81, ecl:, grn, Valid
Passport 81, pid:, 188906975, Valid
Passport 81, eyr:, 2029, Valid
Passport 81, hcl:, #733820, Valid
Passport 81, byr:, 2001, Valid
Passport 81, iyr:, 2012, Valid
Passport 81, hgt:, 173cm, Valid
Passport 82, eyr:, 2029, Valid
Passport 82, byr:, 1948, Valid
Passport 82, iyr:, 2020, Valid
Passport 82, ecl:, brn, Valid
Passport 82, pid:, 577624152, Valid
Passport 82, hcl:, #623a2f, Valid
Passport 82, hgt:, 167cm, Valid
Passport 83, hcl:, #18171d, Valid
Passport 83, pid:, 262528276, Valid
Passport 83, byr:, 1949, Valid
Passport 83, iyr:, 2020, Valid
Passport 83, eyr:, 2023, Valid
Passport 84, ecl:, brn, Valid
Passport 84, hcl:, #c0946f, Valid
Passport 84, byr:, 1967, Valid
Passport 84, iyr:, 2016, Valid
Passport 84, hgt:, 162cm, Valid
Passport 84, pid:, 139002508, Valid
Passport 84, eyr:, 2030, Valid
Passport 85, eyr:, 2030, Valid
Passport 85, pid:, 542944485, Valid
Passport 85, iyr:, 2013, Valid
Passport 85, hgt:, 72in, Valid
Passport 85, ecl:, amb, Valid
Passport 85, hcl:, #a97842, Valid
Passport 85, byr:, 1950, Valid
Passport 86, ecl:, gry, Valid
Passport 86, pid:, 772544664, Valid
Passport 86, eyr:, 2023, Valid
Passport 86, iyr:, 2012, Valid
Passport 86, hgt:, 159cm, Valid
Passport 86, hcl:, #602927, Valid
Passport 86, byr:, 1956, Valid
Passport 87, ecl:, grt, Invalid
Passport 88, ecl:, brn, Valid
Passport 88, pid:, 322272953, Valid
Passport 88, hcl:, #a97842, Valid
Passport 88, byr:, 1990, Valid
Passport 88, eyr:, 2021, Valid
Passport 88, iyr:, 2017, Valid
Passport 88, hgt:, 181cm, Valid
Passport 89, eyr:, 2029, Valid
Passport 89, iyr:, 2011, Valid
Passport 89, pid:, 503169142, Valid
Passport 89, byr:, 1980, Valid
Passport 89, ecl:, oth, Valid
Passport 89, hcl:, #a97842, Valid
Passport 90, pid:, 514042929, Valid
Passport 90, ecl:, amb, Valid
Passport 90, eyr:, 2030, Valid
Passport 90, hgt:, 154cm, Valid
Passport 90, hcl:, #623a2f, Valid
Passport 90, iyr:, 2010, Valid
Passport 90, byr:, 1989, Valid
Passport 91, ecl:, brn, Valid
Passport 91, pid:, 156381939, Valid
Passport 91, eyr:, 2030, Valid
Passport 91, hcl:, #7d3b0c, Valid
Passport 91, byr:, 1988, Valid
Passport 91, iyr:, 2016, Valid
Passport 91, hgt:, 161cm, Valid
Passport 92, ecl:, zzz, Invalid
Passport 93, pid:, 872911892, Valid
Passport 93, byr:, 1924, Valid
Passport 93, iyr:, 1974, Invalid
Passport 94, hcl:, #602927, Valid
Passport 94, hgt:, 188cm, Valid
Passport 94, ecl:, utc, Invalid
Passport 95, ecl:, hzl, Valid
Passport 95, eyr:, 2020, Valid
Passport 95, hcl:, #888785, Valid
Passport 95, hgt:, 181cm, Valid
Passport 95, pid:, 721383537, Valid
Passport 95, iyr:, 2018, Valid
Passport 95, byr:, 1983, Valid
Passport 96, pid:, 8590606, Invalid
Passport 97, byr:, 1956, Valid
Passport 97, hgt:, 160in, Invalid
Passport 98, pid:, 90562860, Invalid
Passport 99, ecl:, hzl, Valid
Passport 99, pid:, 557319679, Valid
Passport 99, eyr:, 2026, Valid
Passport 99, hcl:, #866857, Valid
Passport 99, byr:, 1945, Valid
Passport 99, iyr:, 2012, Valid
Passport 99, hgt:, 182cm, Valid
Passport 100, ecl:, zzz, Invalid
Passport 101, ecl:, amb, Valid
Passport 101, pid:, 69196974, Invalid
Passport 102, hgt:, 183in, Invalid
Passport 103, ecl:, hzl, Valid
Passport 103, pid:, 195721774, Valid
Passport 103, hcl:, #602927, Valid
Passport 103, byr:, 1945, Valid
Passport 103, hgt:, 186cm, Valid
Passport 103, eyr:, 2037, Invalid
Passport 104, ecl:, brn, Valid
Passport 104, eyr:, 2028, Valid
Passport 104, hgt:, 171cm, Valid
Passport 104, pid:, 563089389, Valid
Passport 104, hcl:, #fffffd, Valid
Passport 104, byr:, 1980, Valid
Passport 104, iyr:, 2016, Valid
Passport 105, ecl:, gry, Valid
Passport 105, eyr:, 2027, Valid
Passport 105, hcl:, #18171d, Valid
Passport 105, byr:, 1932, Valid
Passport 105, iyr:, 2011, Valid
Passport 105, pid:, 398526372, Valid
Passport 106, pid:, 97363921, Invalid
Passport 107, ecl:, amb, Valid
Passport 107, iyr:, 2012, Valid
Passport 107, pid:, 679312513, Valid
Passport 107, eyr:, 2026, Valid
Passport 107, hcl:, #cfa07d, Valid
Passport 107, byr:, 1961, Valid
Passport 107, hgt:, 174cm, Valid
Passport 108, byr:, 1980, Valid
Passport 108, hcl:, #80055d, Valid
Passport 108, ecl:, oth, Valid
Passport 108, pid:, 159696517, Valid
Passport 108, eyr:, 2030, Valid
Passport 108, hgt:, 191cm, Valid
Passport 108, iyr:, 2012, Valid
Passport 109, eyr:, 2027, Valid
Passport 109, hcl:, #866857, Valid
Passport 109, iyr:, 2013, Valid
Passport 109, pid:, 621184472, Valid
Passport 109, byr:, 2000, Valid
Passport 109, hgt:, 175cm, Valid
Passport 109, ecl:, hzl, Valid
Passport 110, byr:, 1998, Valid
Passport 110, hgt:, 166cm, Valid
Passport 110, ecl:, oth, Valid
Passport 110, eyr:, 2025, Valid
Passport 110, iyr:, 2018, Valid
Passport 110, pid:, 358495679, Valid
Passport 110, hcl:, #a97842, Valid
Passport 111, ecl:, oth, Valid
Passport 111, hcl:, #6b5442, Valid
Passport 111, byr:, 1928, Valid
Passport 111, eyr:, 2020, Valid
Passport 111, iyr:, 2018, Valid
Passport 111, hgt:, 189cm, Valid
Passport 112, hgt:, 186cm, Valid
Passport 112, ecl:, grt, Invalid
Passport 113, ecl:, oth, Valid
Passport 113, eyr:, 2029, Valid
Passport 113, hgt:, 63in, Valid
Passport 113, pid:, 942282912, Valid
Passport 113, hcl:, #c0946f, Valid
Passport 113, byr:, 1989, Valid
Passport 113, iyr:, 2013, Valid
Passport 114, eyr:, 2026, Valid
Passport 114, hcl:, #623a2f, Valid
Passport 114, byr:, 1997, Valid
Passport 114, pid:, 702981538, Valid
Passport 114, ecl:, amb, Valid
Passport 114, iyr:, 2017, Valid
Passport 114, hgt:, 178cm, Valid
Passport 115, ecl:, brn, Valid
Passport 115, pid:, 191192548, Valid
Passport 115, byr:, 1932, Valid
Passport 115, iyr:, 2015, Valid
Passport 115, eyr:, 2020, Valid
Passport 115, hcl:, #7d3b0c, Valid
Passport 116, pid:, 341036511, Valid
Passport 116, eyr:, 2028, Valid
Passport 116, hcl:, #866857, Valid
Passport 116, iyr:, 2020, Valid
Passport 116, hgt:, 173cm, Valid
Passport 116, ecl:, blu, Valid
Passport 116, byr:, 1973, Valid
Passport 117, ecl:, hzl, Valid
Passport 117, pid:, 165707654, Valid
Passport 117, iyr:, 2016, Valid
Passport 117, hgt:, 181cm, Valid
Passport 117, hcl:, #b6652a, Valid
Passport 117, byr:, 1973, Valid
Passport 118, ecl:, amb, Valid
Passport 118, pid:, 833337583, Valid
Passport 118, hcl:, #602927, Valid
Passport 118, byr:, 1936, Valid
Passport 118, iyr:, 2014, Valid
Passport 118, hgt:, 165cm, Valid
Passport 118, eyr:, 2021, Valid
Passport 119, ecl:, grn, Valid
Passport 119, pid:, 701515796, Valid
Passport 119, eyr:, 2021, Valid
Passport 119, hcl:, #a55daf, Valid
Passport 119, byr:, 1938, Valid
Passport 119, iyr:, 2015, Valid
Passport 119, hgt:, 71in, Valid
Passport 120, hcl:, #a97842, Valid
Passport 120, ecl:, blu, Valid
Passport 120, eyr:, 2030, Valid
Passport 120, iyr:, 2020, Valid
Passport 120, byr:, 1927, Valid
Passport 120, hgt:, 155cm, Valid
Passport 120, pid:, 524488639, Valid
Passport 121, pid:, 385084163, Valid
Passport 121, eyr:, 2025, Valid
Passport 121, ecl:, oth, Valid
Passport 121, hcl:, #866857, Valid
Passport 121, byr:, 2002, Valid
Passport 121, iyr:, 2020, Valid
Passport 121, hgt:, 177cm, Valid
Passport 122, eyr:, 2029, Valid
Passport 122, hgt:, 177cm, Valid
Passport 122, ecl:, hzl, Valid
Passport 122, hcl:, #866857, Valid
Passport 122, pid:, 459543573, Valid
Passport 122, byr:, 1946, Valid
Passport 122, iyr:, 2015, Valid
Passport 123, pid:, 826977286, Valid
Passport 123, eyr:, 2030, Valid
Passport 123, byr:, 1996, Valid
Passport 123, iyr:, 2016, Valid
Passport 123, hcl:, #efcc98, Valid
Passport 123, ecl:, gry, Valid
Passport 123, hgt:, 180cm, Valid
Passport 124, eyr:, 2029, Valid
Passport 124, ecl:, gry, Valid
Passport 124, pid:, 872821863, Valid
Passport 124, byr:, 2030, Valid
Passport 124, iyr:, 1976, Invalid
Passport 125, ecl:, blu, Valid
Passport 125, pid:, 918753019, Valid
Passport 125, byr:, 1924, Valid
Passport 125, hgt:, 191cm, Valid
Passport 125, eyr:, 2024, Valid
Passport 125, hcl:, #5d69e0, Valid
Passport 125, iyr:, 2019, Valid
Passport 126, ecl:, lzr, Invalid
Passport 127, eyr:, 2021, Valid
Passport 127, byr:, 1946, Valid
Passport 127, ecl:, grn, Valid
Passport 127, pid:, 246923037, Valid
Passport 127, hcl:, #cfa07d, Valid
Passport 127, iyr:, 2010, Valid
Passport 127, hgt:, 189cm, Valid
Passport 128, iyr:, 2016, Valid
Passport 128, ecl:, oth, Valid
Passport 128, pid:, 924702739, Valid
Passport 128, eyr:, 2028, Valid
Passport 128, hcl:, #7d3b0c, Valid
Passport 128, byr:, 1962, Valid
Passport 128, hgt:, 155cm, Valid
Passport 129, pid:, 7358100461, Valid
Passport 129, hcl:, #a97842, Valid
Passport 129, byr:, 2011, Valid
Passport 129, hgt:, 183cm, Valid
Passport 129, eyr:, 1963, Invalid
Passport 130, ecl:, hzl, Valid
Passport 130, hcl:, #c0946f, Valid
Passport 130, byr:, 1934, Valid
Passport 130, hgt:, 183cm, Valid
Passport 130, pid:, 433993423, Valid
Passport 130, eyr:, 2028, Valid
Passport 130, iyr:, 2018, Valid
Passport 131, hcl:, #cfa07d, Valid
Passport 131, iyr:, 2018, Valid
Passport 131, hgt:, 183cm, Valid
Passport 131, eyr:, 2024, Valid
Passport 131, byr:, 1975, Valid
Passport 132, ecl:, amb, Valid
Passport 132, eyr:, 2021, Valid
Passport 132, byr:, 1992, Valid
Passport 132, iyr:, 2020, Valid
Passport 132, hgt:, 164cm, Valid
Passport 133, pid:, 271720491, Valid
Passport 133, hgt:, 161cm, Valid
Passport 133, ecl:, grn, Valid
Passport 133, eyr:, 2024, Valid
Passport 133, hcl:, #6b5442, Valid
Passport 133, byr:, 1947, Valid
Passport 133, iyr:, 2012, Valid
Passport 134, pid:, 860852799, Valid
Passport 134, eyr:, 2021, Valid
Passport 134, hcl:, #6b5442, Valid
Passport 134, byr:, 1980, Valid
Passport 134, iyr:, 2010, Valid
Passport 134, hgt:, 174cm, Valid
Passport 134, ecl:, hzl, Valid
Passport 135, pid:, 813453232, Valid
Passport 135, eyr:, 2028, Valid
Passport 135, hcl:, #623a2f, Valid
Passport 135, iyr:, 2016, Valid
Passport 135, hgt:, 173cm, Valid
